CODA,Licorice Pizza,The Power of the Dog,Red Rocket,Judas and the Black Messiah,C'mon C'mon,Pig,Bo Burnham: Inside,Dune,Titane,,,,,
Licorice Pizza,The Power of the Dog,The Tragedy of Macbeth,Summer of Soul,West Side Story,Flee,Nightmare Alley,Drive My Car,Riders of Justice,Wild Indian,,,,,
Judas and the Black Messiah,Minari,The Harder They Fall,A Quiet Place Part II,Spider-Man: No Way Home,Dune,The Suicide Squad,No Time to Die,Don't Look Up,House of Gucci,,,,,
Zola,The Green Knight,Annette,Dune,The French Dispatch,The Last Duel,Licorice Pizza,The Power of the Dog,Pig,Barb & Star Go to Vista Del Mar,,,,,
The Worst Person in the World,West Side Story,Memoria,What Do We See When We Look at the Sky?,The Works and Days (of Tayoko Shiojiri in the Shiotani Basin),Barb & Star Go to Vista Del Mar,The Matrix Resurrections,Petite Maman,Outside Noise,Benediction,,,,,
Titane,The Card Counter,The Power of the Dog,Annette,The Worst Person in the World,Nightmare Alley,Bad Luck Banging or Loony Porn,C'mon C'mon,"All Light, Everywhere",Petite Maman,,,,,
Drive My Car,The Sparks Brothers,Nomadland,Supernova,Pig,Petite Maman,The Father,Spencer,West Side Story,Titane,,,,,
Licorice Pizza,The Worst Person in the World,Titane,The Green Knight,Drive My Car,Petite Maman,Flee,Dune,Annette,Summer of Soul,,,,,
Licorice Pizza,Belfast,Spider-Man: No Way Home,Don't Look Up,"tick, tick...BOOM!",West Side Story,Being the Ricardos,Free Guy,CODA,The Tender Bar,Finch,Pig,,,
Barb & Star Go to Vista Del Mar,CODA,Nomadland,In the Heights,The Power of the Dog,Dune,Shang-Chi and the Legend of the Ten Rings,Titane,Raya and the Last Dragon,The Green Knight,,,,,
Dune,Belfast,Judas and the Black Messiah,West Side Story,Bo Burnham: Inside,Licorice Pizza,The Green Knight,The Last Duel,Summer of Soul,The Worst Person in the World,,,,,
Days,Licorice Pizza,Memoria,France,The Worst Person in the World,North by Current,Bergman Island,The Souvenir Part II,The French Dispatch,Wife of a Spy,El Planeta,Red Rocket,Procession,,
CODA,C'mon C'mon,"tick, tick...BOOM!",King Richard,Belfast,The French Dispatch,The Many Saints of Newark,Don't Look Up,No Sudden Move,Roadrunner: A Film About Anthony Bourdain,,,,,
Dune,Sound of Metal,Minari,Nomadland,West Side Story,Spider-Man: No Way Home,Palm Springs,The Mitchells vs. The Machines,Titane,Another Round,,,,,
Licorice Pizza,The Power of the Dog,Flee,The Lost Daughter,Drive My Car,Spencer,Riders of Justice,C'mon C'mon,Parallel Mothers,Red Rocket,,,,,
The Tragedy of Macbeth,The Worst Person in the World,About Endlessness,Licorice Pizza,Drive My Car,Identifying Features,"Quo Vadis, Aida?","All Light, Everywhere",State Funeral,Riders of Justice,,,,,
Summer of Soul,Dune,Shiva Baby,Titane,Flee,Belfast,The Power of the Dog,Fear Street trilogy,Spencer,The Mitchells vs. The Machines,,,,,
Drive My Car,"Quo Vadis, Aida?",Memoria,Nomadland,Mr. Bachmann and His Class,Summer of Soul,Beginning,Farewell Amor,Flee,Petite Maman,,,,,
Licorice Pizza,Nine Days,Cyrano,Cruella,Blue Bayou,The French Dispatch,Pig,We Need to Do Something,Barb & Star Go to Vista Del Mar,Lorelei,,,,,
Swan Song,Minari,Woodlands Dark and Days Bewitched: A History of Folk Horror,Tin Can,Hellbender,Judas and the Black Messiah,A Brixton Tale,"Quo Vadis, Aida?",Aswang,Brotherhood,,,,,
Memoria,Drive My Car,The Souvenir Part II,Annette,Days,The Power of the Dog,Wheel of Fortune and Fantasy,What Do We See When We Look at the Sky?,Benedetta,Undine,,,,,
The Lost Daughter,Drive My Car,The Power of the Dog,Spencer,Titane,Summer of Soul,The Nest,Dune,I'm Your Man,First Cow,,,,,
Bergman Island,The Power of the Dog,Drive My Car,Summer of Soul,Flee,The Mitchells vs. The Machines,Riders of Justice,The Lost Daughter,Mass,Judas and the Black Messiah,,,,,
Cliff Walkers,The Worst Person in the World,Dune,Nine Days,Licorice Pizza,The Tragedy of Macbeth,The Last Forest,Old Henry,Malcolm & Marie,No Time to Die,,,,,
The Mitchells vs. The Machines,Bo Burnham: Inside,Passing,Don't Look Up,Free Guy,Judas and the Black Messiah,The Outside Story,"Woodstock 99: Peace, Love, and Rage",The Harder They Fall,Shang-Chi and the Legend of the Ten Rings,,,,,
