Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Justin Chang,Drive My Car,The Souvenir Part II,Procession,Memoria,Days,Parallel Mothers,Petite Maman,The Disciple,The Green Knight,The Power of the Dog
Kristy Puchko,The Power of the Dog,West Side Story,Titane,Barb & Star Go to Vista Del Mar,Swan Song [Todd Stephens film],The Last Duel,Shiva Baby,Fear Street trilogy,In the Heights,"tick, tick...BOOM!"
John Beifuss,Red Rocket,Drive My Car,Wheel of Fortune and Fantasy,The French Dispatch,Bad Luck Banging or Loony Porn,Spencer,Arrebato,The Power of the Dog,The Green Knight,Summer of Soul,Cryptozoo
André Hereford,Summer of Soul,The Lost Daughter,Passing,West Side Story,Saint Maud,Last Night in Soho,The Last Duel,"tick, tick...BOOM!",Red Rocket,Poppy Field
Jeffrey M. Anderson,The Tragedy of Macbeth,Drive My Car,Passing,About Endlessness,The Amusement Park,Memoria,In the Heights,The Power of the Dog,Spencer,Pig
Ty Burr,Wheel of Fortune and Fantasy,Drive My Car,"Quo Vadis, Aida?",Parallel Mothers,Summer of Soul,The Beatles: Get Back,Petite Maman,The Lost Daughter,Spencer,The Card Counter
David Ehrlich     Video countdown,The Power of the Dog,Bergman Island,The Souvenir Part II,Memoria,Drive My Car,Petite Maman,Pig,Licorice Pizza,Saint Maud,Red Rocket
mxdwn,Spider-Man: No Way Home,Dune,Licorice Pizza,West Side Story,King Richard,The French Dispatch,No Time to Die,The Green Knight,Titane,The Suicide Squad
Jason Shawhan,Beginning,Bo Burnham: Inside,Wojnarowicz: F--- You F-ggot F---er,Playdurizm,Memoria,Benedetta,Dear Evan Hansen,The Power of the Dog,Barb & Star Go to Vista Del Mar,Come True,Maanaadu,Parallel Mothers,The Scary of Sixty-First,Spencer,Bad Luck Banging or Loony Porn
Kyle Smith,Belfast,Licorice Pizza,The Worst Person in the World,Red Rocket,Dear Comrades!,The Last Duel,Shang-Chi and the Legend of the Ten Rings,The Velvet Underground,Luca,C'mon C'mon
Mike Scott,Belfast,Don't Look Up,Cyrano,Nightmare Alley,No Time to Die,King Richard,The Green Knight,The Beatles: Get Back,The French Dispatch,The Harder They Fall
Johnny Oleksinski,Licorice Pizza,Dune,Mass,In the Heights,Free Guy,Barb & Star Go to Vista Del Mar,Luca,King Richard,"tick, tick...BOOM!",The Tragedy of Macbeth
Manohla Dargis,Drive My Car,The Power of the Dog,The Velvet Underground,Summer of Soul,Passing,Azor,The Card Counter,The Disciple,Wheel of Fortune and Fantasy,Spencer
A.O. Scott,Summer of Soul,Bad Luck Banging or Loony Porn,The Power of the Dog,Petite Maman,Bring Your Own Brigade,Bergman Island,Drive My Car,Memoria,West Side Story,The Velvet Underground
Richard Brody,The French Dispatch,Licorice Pizza,Zola,I Was a Simple Man,In the Same Breath,C'mon C'mon,Passing,Pebbles,Petite Maman,Procession
Rafer Guzmán,West Side Story,Nightmare Alley,Cruella,The Last Duel,The Power of the Dog,The French Dispatch,King Richard,Judas and the Black Messiah,The Lost Daughter,The Velvet Underground
NME,Sound of Metal,Dune,Palm Springs,Minari,Nomadland,Summer of Soul,Shiva Baby,The Sparks Brothers,No Time to Die,Shang-Chi and the Legend of the Ten Rings
Norman Wilner,The Souvenir Part II,Judas and the Black Messiah,West Side Story,Drive My Car,Licorice Pizza,Night Raiders,Beans,Nine Days,Summer of Soul,Titane
Michael Cuby,Flee,The Power of the Dog,The Lost Daughter,Parallel Mothers,C'mon C'mon,The Souvenir Part II,The Worst Person in the World,The Green Knight,Dune,"tick, tick...BOOM!",West Side Story,Drive My Car,Barb & Star Go to Vista Del Mar
Mark Kermode,Petite Maman,Summer of Soul,The Green Knight,Another Round,Titane,Censor,Sound of Metal,After Love,Spencer,"Quo Vadis, Aida?"
Sean Axmaker,The Lost Daughter,The Green Knight,The Card Counter,Spencer,Drive My Car,The Worst Person in the World,The Power of the Dog,Petite Maman,"Quo Vadis, Aida?",Licorice Pizza
