Furious 7,Straight Outta Compton,Dope,Mad Max: Fury Road,Creed,Inside Out,Amy,Tangerine,Jurassic World,Sicario,,,,,,
Spotlight,Room,Carol,Inside Out,Mad Max: Fury Road,The Revenant,Star Wars: The Force Awakens,Brooklyn,The Martian,Black Mass,,,,,,
Timbuktu,Mad Max: Fury Road,Anomalisa,Results,The Martian,Carol,The Tribe,Ex Machina,Brooklyn,The Nightmare,,,,,,
Spotlight,Carol,Brooklyn,Room,The Danish Girl,Labyrinth of Lies,Truth,I'll See You in My Dreams,45 Years,Bridge of Spies,,,,,,
Spotlight,(tie) Anomalisa,(tie) Inside Out,(tie) Creed,(tie) Mad Max: Fury Road,Bridge of Spies,Room,(tie) Love & Mercy,(tie) Straight Outta Compton,(tie) 45 Years,(tie) Grandma,(tie) Youth,The Martian,Trumbo,(tie) Carol,(tie) The Danish Girl
Mad Max: Fury Road,The End of the Tour,Sunshine Superman,Sicario,Me and Earl and the Dying Girl,Love & Mercy,Anomalisa,Youth,Going Clear: Scientology and the Prison of Belief,Spotlight,,,,,,
Mad Max: Fury Road,Spotlight,Straight Outta Compton,(tie) Spy,(tie) Trainwreck,Tangerine,The Danish Girl,Ex Machina,Love & Mercy,The Diary of a Teenage Girl,It Follows,,,,,
(tie) The Assassin AND Mad Max: Fury Road,Luminous Intimacy: The Cinema of Nathaniel Dorsky and Jerome Hiler (retrospective),Bridge of Spies,Carol,In Jackson Heights,The Martian,The Kindergarten Teacher,The Diary of a Teenage Girl,The Big Short,Sixty Six,,,,,,
Carol,The Big Short,Spotlight,The Fool,The Diary of a Teenage Girl,The Look of Silence,Truth,45 Years,Tangerine,Brooklyn,,,,,,
Timbuktu,Inside Out,(tie) The Big Short,(tie) Spotlight,Heart of a Dog,(tie) Anomalisa,(tie) Carol,Jafar Panahi's Taxi [aka Taxi Tehran],Out 1: Noli Me Tangere,Mad Max: Fury Road,Creed,(tie) Results,(tie) Welcome to Me,,,
Chi-Raq,Li’l Quinquin,Queen of Earth,Heaven Knows What,Jafar Panahi's Taxi [aka Taxi Tehran],Timbuktu,In Jackson Heights,Mistress America,Stinking Heaven,Arabian Nights,,,,,,
Inside Out,Clouds of Sils Maria,The Revenant,Mad Max: Fury Road,Amy,In the Heart of the Sea,The Stanford Prison Experiment,Anomalisa,When Marnie Was There,The Tribe,,,,,,
The Disappearance Of Eleanor Rigby,The Look of Silence,Mad Max: Fury Road,The Mend,Amy,Timbuktu,A Girl Walks Home Alone at Night,The Assassin,The Big Short,Paddington,,,,,,
Carol,Mad Max: Fury Road,Ex Machina,Inside Out,The Diary of a Teenage Girl,The Martian,Tangerine,Dope,It Follows,Going Clear: Scientology and the Prison of Belief,,,,,,
Inside Out,A Girl Walks Home Alone at Night,Girlhood,Carol,The Falling,Song of the Sea,Brooklyn,Sunset Song,The Ecstasy of Wilko Johnson,The Tale of the Princess Kaguya,,,,,,
Mad Max: Fury Road,Sicario,The Hateful Eight,The Look of Silence,Creed,Inside Out,Phoenix,It Follows,Tangerine,Bridge of Spies,,,,,,
Mad Max: Fury Road,Carol,Spotlight,The Revenant,Mr. Turner,The Big Short,Brooklyn,Room,Inside Out,The End of the Tour,,,,,,
Carol,Wild Tales,Anomalisa,It Follows,Clouds of Sils Maria,Tangerine,Saint Laurent,Goodnight Mommy,The Wolfpack,The Forbidden Room,,,,,,
Clouds of Sils Maria,Carol,Phoenix,Jafar Panahi's Taxi [aka Taxi Tehran],Mad Max: Fury Road,Spotlight,45 Years,Mustang,Jauja,Ex Machina,,,,,,
45 Years,Spotlight,Brooklyn,Sicario,Trumbo,Carol,Ex Machina,Bridge of Spies,Inside Out,99 Homes,,,,,,
It Follows,Clouds of Sils Maria,Spotlight,Bridge of Spies,Room,The Assassin,45 Years,Son of Saul,Jauja,Me and Earl and the Dying Girl,,,,,,
The Assassin,Carol,Horse Money,Jauja,The Kindergarten Teacher,Heaven Knows What,The Wonders,Arabian Nights,Phoenix,,,,,,,
Experimenter,Taxi,It Follows,The Hateful Eight,Welcome to New York,Blackhat,Clouds of Sils Maria,Timbuktu,Queen and Country,Maps to the Stars,,,,,,
Mad Max: Fury Road,Blackhat,Carol,The Hateful Eight,It Follows,Bridge of Spies,Tangerine,Bone Tomahawk,Creed,Sicario,,,,,,
Chi-Raq,Cartel Land,The Tribe,White God,Gett: The Trial of Viviane Amsalem,The End of the Tour,Anomalisa,Time Out of Mind,Mad Max: Fury Road,Mistress America,,,,,,
The Big Short,Spotlight,The Revenant,Mad Max: Fury Road,Room,The Martian,Carol,Creed,Sicario,Brooklyn,,,,,,
